_id,mq7,mq135,temperature,humidity,motion,air_quality,co_level,timestamp
69ea063ca426a0b9533736a8,1127,610,31.5,69.8,TRUE,GOOD,LOW CO,2026-04-23T11:45:00.993Z
69ea063fa426a0b9533736a9,1133,595,31.5,69.8,TRUE,GOOD,LOW CO,2026-04-23T11:45:03.993Z
69ea0642a426a0b9533736aa,1136,597,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:06.993Z
69ea0645a426a0b9533736ab,1135,607,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:09.993Z
69ea0648a426a0b9533736ac,1137,610,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:12.994Z
69ea064ba426a0b9533736ad,1148,613,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:15.994Z
69ea064ea426a0b9533736ae,1138,617,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:18.994Z
69ea0651a426a0b9533736af,1138,613,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:21.994Z
69ea0654a426a0b9533736b0,1144,621,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:24.994Z
69ea0657a426a0b9533736b1,1143,614,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:27.994Z
69ea065aa426a0b9533736b2,1142,620,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:30.994Z
69ea065da426a0b9533736b3,1141,619,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:33.994Z
69ea0660a426a0b9533736b4,1141,621,31.5,69.8,TRUE,GOOD,LOW CO,2026-04-23T11:45:36.994Z
69ea0663a426a0b9533736b5,1145,616,31.5,69.8,TRUE,GOOD,LOW CO,2026-04-23T11:45:39.994Z
69ea0669a426a0b9533736b6,1147,618,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:45.994Z
69ea066ca426a0b9533736b7,1149,615,31.5,69.7,TRUE,GOOD,LOW CO,2026-04-23T11:45:48.994Z
69ea066fa426a0b9533736b8,1152,627,31.6,69.6,TRUE,GOOD,LOW CO,2026-04-23T11:45:51.995Z
69ea0672a426a0b9533736b9,1152,615,31.5,69.6,TRUE,GOOD,LOW CO,2026-04-23T11:45:54.995Z
69ea0675a426a0b9533736ba,1152,619,31.6,69.6,TRUE,GOOD,LOW CO,2026-04-23T11:45:57.995Z
69ea0678a426a0b9533736bb,1152,617,31.6,69.6,TRUE,GOOD,LOW CO,2026-04-23T11:46:00.995Z
